Star Properties		Equations are ideal for stars 0.18-1.2 solar masses and planets >0.01 Earth masses								Planet Properties		(see notes and caveats under each column)																																																
																																																												
										Mass (Earth	Mass (Jupiter	Metal core	water mass	Radius	Radius	Surface area	Density	Semimajor	Period	Period	Period ratio	Synodic day			Periapsis	Apoapsis	min separation from	Hill radius	Roche limit	Bond	Equilibrium	CO2 Partial	Avg. surface	Habitable	Primary apparent	Primary apparent	Secondary apparent	Secondary apparent	Surface illumination	Avg Irradiance	Geometric	Planet absolute	Rad abundance	Radiogenic	Priomordial	Tidal heating	Total surface	Tectonic	Surface	Induced tide	Orbit velocity at	Escape velocity	Rotation	Surface-synchronous	Avg. orbital	Min mass gas	0-altitude	Average molar	Altitude of	Distance to
Bolometric (0) or Visual (1) magnitudes?									k	0.289	0.000908805			0.712936796		0.508278876	4.395493667	390.25	762684.2184	2088.172759	2.724480779	8542	2142.873009	0.336	259.126	521.374	31.11272693	161641673.5	12239		#NUM!		#NUM!	#NUM!	0.008747232	#NUM!	0	#NUM!	#NUM!	-0.071762585		#NUM!		0	0.079818834	3.08973E-23	0.079818834	Ideal	0.568585503	5.27312E-12	5.035034763	7.120614448	8538.015622	1397591.496	5.565633228	#NUM!			#DIV/0!	4.043715671
Bolometric Correction (rough)			#NUM!		#NUM!		-21.75322852		l	0.93	0.002924528			0.987796026		0.97574099	5.31794732	630.15	1564934.888	4284.675522	2.051877894	262.74	142949.0649	0.032	609.9852	650.3148	35.02801155	385344710.8	18070		#NUM!		#NUM!	#NUM!	0.005417134	#NUM!	0	#NUM!	#NUM!	-0.025936165		#NUM!		0	0.133800581	2.04943E-26	0.133800581	Ideal	0.953121791	1.43432E-12	7.673383501	10.85180302	262.738162	196987.0291	4.379899036	#NUM!			#DIV/0!	4.759800183
Absolute Magnitude			#NUM!	#NUM!	#NUM!	#NUM!			m		0			0		0	#DIV/0!		0	0	0		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Combined Luminosity					-10293.69193	-10293.69193			n		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Combined Absolute Magnitude					#NUM!	#NUM!			o		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
									p		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
System Boundaries									q		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
				Semimajor axis (AU)		Period (days)			r		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Roche limit (Earth)				0.017205904		0.223278369			s		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Rockline (rough)				#NUM!		#NUM!			t		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Low-humidity extreme hab limit (rough)				#NUM!		#NUM!			u		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Slow-rotating hab limit				#NUM!		#NUM!			v		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Optimistic hab inner limit				#NUM!		#NUM!			w		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Conservative hab inner limit				#NUM!		#NUM!			x		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Conservative hab outer limit				#NUM!		#NUM!			y		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Optimistic hab outer limit				#NUM!		#NUM!			z		0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
50% H2 hab limit				#NUM!		#NUM!					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
100 bar H2 hab limit (rough)				#NUM!		#NUM!					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
											0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Tidal-locking radius (12 hour initial)				0.283526975		14.93557619					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Early iceline (rough)				#NUM!		#NUM!					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
											0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
CO2 required for 273 K surface temp											0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
0.01 bar CO2				#NUM!		#NUM!					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
0.1 bar CO2				#NUM!		#NUM!					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
1 bar CO2				#NUM!		#NUM!					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
CO2 bars at conservative outer limit (rough)				#NUM!							0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
											0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Quick Calculators											0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Jupiter mass to Earth mass			Sun mass to Earth mass			Period ratio to semimajor ratio					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Jupiter masses			Sun masses			Period ratio					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Earth masses		0	Earth masses		0	Semimajor axis ratio		0			0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Average gas molar mass					total/	Smaller SMA					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
	Gas 1	Gas 2	Gas 3	Gas 4	average	Larger SMA		0			0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
% volume					0	Planet apparent magnitude					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
mol mass					0	Absolute magnitude					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Tidal-locking time		Planet apparent diameter				Star-planet distance (AU)					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
SMA (AU)	1	Planet radius (Earth radii)				Observer-planet dist. (AU)					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
initial day	12	Observer-planet distance (AU)				Phase angle (ø)					0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
(hours)		Apparent diameter (ø)			#DIV/0!	Apparent magnitude		#NUM!			0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
Time to	2.88876963	Illuminance from reflected light			Equivalent irradiance to solar system						0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
lock (byr)		Reflector apparent mag.			Distance from star (AU)						0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
		Illuminance (lux)		0	Equivalent distance in sol (AU)			0			0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
											0			0		0	#DIV/0!		0	0	#DIV/0!		#DIV/0!		0	0	N/A	0	0		#DIV/0!		#NUM!	N/A	#DIV/0!	#NUM!	#DIV/0!	#NUM!	#NUM!	#DIV/0!		#NUM!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#NUM!			#DIV/0!	0
